Entity,Type
પોલીસ,Person
પોલીસ,Organization
અમિત શાહ,Person
રામ,Person
અયોધ્યા,Location
બનશે,Event
ગગનચુંબી રામ મંદિર,Product
જિલ્લે પ્રશાસન,Organization
જમ્મુ-કાશ્મીર,Location
કઠુઆ જિલ્લા,Location
બેટી બચાવો-બેટી પઢાઓ યોજના,Event
મારી,Person
મારુતિ,Organization
સુઝુકી,Organization
2018 ઓટો એક્સ્પો,Location
2018 ઓટો એક્સ્પો,Event
હાઈબ્રિડ વર્ઝન,Product
ધ્રૃવ વિસ્તાર,Location
લોકો,Person
સાયન્ટિસ્ટ,Person
શેતાન,Person
બાઇબલ,Organization
એમેઝોન,Organization
ખાંડ,Product
પરતંત્રતા,Person
પ્રેમ,Person
તે,Person
ભારત,Location
સ્માર્ટફોન,Product
રાહુલ,Person
GST,Organization
ડીજિટલ,Organization
કાર્ડ,Product
હોન્ડા,Organization
ઈસુ,Person
શ્રી નરેન્દ્ર મોદી,Person
અમદાવાદ,Location
સાબરમતી રિવરફ્રન્ટ,Location
અમદાવાદ શોપિંગ ફેસ્ટિવલ – 2019,Event
પ્રાથમીક તારણમાં,Event
,Person
અર્જુન,Person
મલાઇકા,Person
વાણી,Person
રોબર્ટ વાડ્રાને,Person
દિલ્હી કોર્ટ,Organization
દેશ,Location
દિલ્હી,Location
Social Media,Organization
વિદેશી એજન્સીઓ,Organization
અનિલ કુંબલે,Person
કપિલ દેવ,Person
હરભજન સિંઘ,Person
વિદ્યાર્થીઓ,Person
જૂથો,Organization
સુશાંત સિંહ રાજપૂત,Person
આ સંમેલન,Organization
પોટેટો કોન્ફરન્સ,Organization
એગ્રી એક્સ્પો,Organization
પોટેટો ફિલ્ડ,Organization
પોટેટો કોન્ફરન્સ,Event
એગ્રી એક્સ્પો,Event
પોટેટો ફિલ્ડ ડે,Event
સંપત્તિ,Product
ખટોદરામ,Person
ખટોદરામ,Location
ઈસુ,Person
રાજ,Event
ઈશ્વર,Person
નુહ,Person
સિમી ગરેવાલ,Person
રાજીવ ગાંધી,Person
પોલીસ,Person
પોલીસ,Organization
પાડોશી,Location
રેલ્વે બ્રિજ,Location
ભાજપ,Organization
કોંગ્રેસ,Organization
ગુજરાત,Location
ચૂંટણી,Event
ભારત,Location
સંક્રમણ,Event
BSE,Organization
NSE,Organization
ડોક્ટરો,Person
તમને,Person
શાહરુખ,Person
ઐશ્વર્યા રાય,Person
અર્ચના સદાનંદ,Person
શાહરુખ,Person
ટ્રેલરચાલક,Person
ટ્રેલર,Product
સરકાર,Organization
એલજી,Organization
સુપ્રીમ કોર્ટ,Organization
દિલ્હી,Location
ડૉ. સુસે,Person
કારથી ભરેલી શેરી,Location
સાયકલ,Product
નસકોરા,Organization
જરેલુ,Location
છુટકારો,Product
અખિલેશ યાદવ,Person
સમાજવાદી પક્ષ,Organization
રોમાન હાર્ટસોકે,Person
ફેડ્રલ રિપબ્લિક ઑફ જર્મની,Organization
૧૯૯૮માં,Event
ગીતશાસ્ત્ર,Person
હેબ્રી,Organization
તેમના,Person
ખાનગી હોસ્પિટલ,Organization
કમ્પ્યૂટર,Location
મોનિટર,Product
બિલાડી,Product
ભારતની લીગ,Organization
ન્યૂઝીલેન્ડ,Location
રમાનારી મેચ,Event
તબીબો,Person
NMC,Organization
બીલીમોરામ,Location
રેલી,Event
ધરણા,Event
બાળકો,Person
પિતા,Person
કેસ દાખલ,Event
લીંબુ,Product
પ્રારંભ,Location
પ્રારંભ,Event
શાનદાર,Person
ખ્વાજા આસિફ,Person
ભારતીય સેનાના પ્રમુખ,Person
પાકિસ્તાનના વિદેશ મંત્રી,Organization
ભારતીય સેના,Organization
સોશિયલ મીડિયા,Organization
સીસીટીવી,Product
એની,Person
ફિલ્મ,Product
બીઅર,Product
ઇતિહાસ સ્થળો,Location
,Location
સ્થળ,Location
લતા મંગેશકર,Person
પુરા,Event
નાગપુર વિશ્વવિદ્યાલય,Organization
નાગપુર,Location
નવી,Person
વિધાનસભા,Organization
રચના,Event
ઇલાવ ગામના લોકો,Person
ઇલાવ ગામ,Location
ખેત,Product
ખેતમજૂરી,Product
પશુ,Product
કોકો,Product
પલંગની,Location
દરવાજાની,Location
બંદર,Location
વહાણ,Product
દરેક લોકો,Person
તેણે,Person
બીસીસીઆઇ,Organization
અને કર્ણાટકના પૂર્વ સીએમ,Person
સિદ્ધારમૈયા,Person
,Person
કોંગ્રેસ,Organization
કર્ણાટક,Location
સેના,Organization
સીઆરપીએફ,Organization
જમ્મુ પોલિસ,Organization
જમ્મુ,Location
સર્ચ ઑપરેશન,Event
હું,Person
યુવાન,Person
પોલીસ,Organization
ચાલક,Person
સૈયદ ઉસ્માન,Person
સૈયદ બુરહાનુદ્દીન,Person
કુતુબુલ આલમ,Organization
મહિલા,Person
નવી દિલ્હી,Organization
નવી દિલ્હી,Location
રાફેલ,Organization
ભારત,Location
પાકિસ્તાન,Location
રાફેલ ફાઈટર વિમાન,Product
મહિલા,Person
નરવણ,Person
રાષ્ટ્રીય રાઇફલ્સ બટાલિયન,Organization
ઈન્ફૈન્ટ્રી બ્રિગેડ,Organization
જમ્મુ-કાશ્મીર,Location
પૂર્વીય મોરચા,Location
મહિલા,Person
કેમ્બ્રિજ યુનિવર્સિટી પ્રેસ,Organization
કેમ્બ્રિજ,Location
ન્યૂ યોર્ક,Location
ગીતશાસ્ત્ર,Person
યહોવાહ,Person
દેવ,Organization
કંપની,Organization
આફ્રિકા,Location
ઉત્તર અમેરિકા,Location
ડોફિનનું વેચાણ,Product
યહોવાહ,Person
મુસા,Person
Quallcomm,Organization
Snapdragon 730G,Product
બાળકો,Person
એનએમઓઓપી,Organization
નેશનલ મિશન ઓન ઓઇલસીડ્સ એન્ડ ઓઇલ પામ,Organization
ઓઇલ,Product
તેમણે,Person
DAV કોલેજ,Organization
કાનપુર,Location
ભારત,Location
અમેરિકા,Location
વાતચીત,Event
સ્પેનના રાફેલ નડાલ,Person
સ્વિત્ઝર્લેન્ડના રોજર ફેડરર,Person
જીવન સુધારતા,Organization
નવા નિયમ,Event
મારી,Person
અમે,Person
જો રુટ,Person
ઇંગ્લેન્ડ,Organization
શાળાઓ,Organization
વારાણસી જિલ્લા,Location
LED બલ્બ,Product
ફુગાવો,Person
તમારે,Person
મહિલાએ,Person
આરોપી,Person
તેમણે,Person
પોસ્ટલ વોટની ગણતરી,Event
ીય સેના,Organization
કાર,Product
राम निवास गوید,Person
દિલ્હી વિધાનસભા,Organization
દિલ્હી,Location
હું,Person
નિતિન ગડકરી,Person
ભાજપ,Organization
મુંબઈ,Location
બ્લેક,Person
કોંગ્રેસ,Organization
જેડીએસ,Organization
રાજ્ય,Location
ગઠબંધન,Event
ભાંગ્યુ,Event
ગૅરી,Person
હિપ,Organization
હિપ રિપ્લેસમેન્ટ ઑપરેશન,Event
કેન્દ્રીય માનવ સંસાધન અને વિકાસમંત્રી,Person
સરકાર,Organization
કેન્દ્રીય માનવ સંસાધન અને વિકાસમંત્રી,Organization
સિક્કિમ યુનિવર્સિટી,Organization
સિક્કિમ,Location
આપણે,Person
અમે,Person
ભારતીય સેના,Organization
યુદ્ધવિરામ,Event
ઘર,Organization
ફોન,Product
એન્જિન,Product
આરોપી,Person
પોલીસ,Organization
સાઉદી અરબ,Organization
ભારત,Location
તેઓ,Person
મધ્ય પ્રદેશ હાઈકોર્ટ,Organization
ચેરીટેબલ ટ્રસ્ટસ,Organization
રાફેલ,Person
ડીલ,Person
દેશ,Location
વિવાદ,Event
પી. ચિદમ્બરમ,Person
કોંગ્રેસ,Organization
ઇનોકસ,Organization
પ્રતિમા,Person
સંમારકામ,Event
ગૌરવ,Person
ડેથ બનો,Event
પોલીસે,Person
સૂસાઇડ,Event
અંહી,Location
તાહિર હુસૈન,Person
દિલ્હી,Location
હિંસા કડકડડુમા,Event
મોટા,Person
વપરાયેલ કાર,Product
માધ્યમિક શિક્ષણ બોર્ડ,Organization
પૂરક પરીક્ષા,Event
વ્યક્તિ,Person
જમીન,Location
હાઉડી,Person
મોદી,Person
હ્યૂસ્ટન,Location
વરસાદે મચાવી તબાહી,Event
ગુજરાત,Location
ફેરબદલી,Event
P. Chidambaram,Person
iarex media,Organization
તીહાડ જેલ,Location
હુમલા,Event
અદાલત,Person
ફિલ્મ,Organization
બોક્સ ઓફિસ,Event
બિજનોર,Location
કાનપુર,Location
બલિયા,Location
ગંગાયાત્રા,Event
રાજ્યભર,Location
હું,Person
કાળજી,Organization
વૃક્ષારોપણ,Event
તે,Person
કામ,Person
અલ્હાઝ,Person
ઓવન,Product
એબીસીએલ,Organization
भारत,Location
ગુજરાત,Location
વીડિયો,Product
બ્રિસબેન,Location
અફઘાનિસ્તાન,Location
ઈંગ્લેન્ડ,Location
મોબાઇલ ફોન,Product
નીલ્સ,Person
રેકેલ,Person
પહાડો,Location
સમુદ્ર,Location
આફ્રિકા,Location
મેજર રીડ,Person
ટૂકડી,Organization
બાઇબલ,Product
મહિલા,Person
પુરુષ,Person
પુરુષ,Person
ઘટનાસ્થળ,Location
મોત,Event
નેશનલ હાઉસિંગ બેંક,Organization
ભારત,Location
સિલ્ક સાડી,Product
સુરત,Organization
સુરત,Location
ક્રિસ ગેલ,Person
રોહિત શર્મા,Person
ઓસ્ટ્રેલિયા,Location
ચેન્નઈ સુપર કિંગ્સ,Person
ચેન્નઈ સુપર કિંગ્સ,Organization
ડીઝલ,Product
પેટ્રોલ,Product
સીએનજી,Product
ગાંધી,Person
ગાંધીમૂલ્યો,Organization
ઈશ્વર,Person
ભૂમિ પેંડણેકર,Person
ફિલ્મ,Event
જિયા,Person
આત્મહત્યા,Event
કેલિફોર્નિયા,Location
આગ,Event
અમિત શાહ,Person
ભાજપ,Organization
ઓસ્ટ્રેલિયા,Location
ઓસ્ટ્રેલિયામાં,Location
ટ્રમ્પ,Person
વહીવટી તંત્ર,Organization
ભણસાલી,Person
શેક્સપિયર,Person
રોમિયો,Person
જુલિયટ,Person
રામલીલા ફિલ્મ,Product
અસ્થિસુષિરતા,Location
સંબંધ,Event
પ્રધાનમંત્રી,Person
મોદી,Person
ગુજરાત,Location
રાજનાથ સિંહ,Person
યોગી આદિત્યનાથ,Person
સોશિયલ મીડિયા,Organization
આ ઘટના,Event
નરેન્દ્ર મોદી,Person
થાઇલેન્ડ,Location
વ્યક્તિ,Person
મીરા,Person
ઇન્સ્ટાગ્રામ,Organization
અધિકારી,Person
ફાયર વિભાગ,Organization
ઘટનાસ્થળ,Location
ઘટના,Event
દલિત,Person
ભાજપ,Organization
અત્યાચાર મુદ્દે,Event
મહિલા,Person
અમદાવાદ સાયબર ક્રાઇમ પોલીસ સ્ટેશન,Organization
અમદાવાદ,Location
પ્રધાનમંત્રી,Person
ફિલ્મ,Product
વીડિયો,Product
Varian,Organization
8GBરેમ/256GB સ્ટોરેજ વેરિએન્ટ,Product
12GB રેમ/256GB સ્ટોરેડ વેરિએન્ટ,Product
મંદિર,Location
ભાઈ,Person
વિશ્વાસુ,Person
અને,Person
શાણા,Person
ચાકર,Person
નિયામક,Person
કાનૂની નિગમ,Organization
પુરુષ,Person
સ્ત્રી,Person
યુવતીઓ,Person
અમિતાભ બચ્ચન,Person
અભિષેક બચ્ચન,Person
ઐશ્વર્યા રાય બચ્ચન,Person
આરાધ્યા બચ્ચન,Person
કોરોના,Event
ઈસુ,Person
કાઈસારીઆ,Location
ફિલિપીમાં,Location
ધંધા,Location
ભારત,Location
શિષ્યવૃત્તિ,Event
જસદણ,Person
ભાજપ,Organization
ચૂંટણી,Event
ભારત,Location
વિકાસદર,Event
મધ્યપ્રદેશ,Location
વરસાદ,Event
ઇન્દિરા ગાંધી,Person
લાભ,Event
ભારત,Organization
સંત,Person
આર્શીવચન,Person
ભાઇ,Person
શાસ્ત્રી,Person
વિરાટ કોહલી,Person
India,Organization
Israel,Organization
Palestine,Location
ઉમેદવારી પરત,Event
હેલ્મેટ,Product
ટોપલી,Product
મોટરસાઇકલ,Product
તેને,Organization
આઈપીએલ 2020,Event
વોટ્સએપ,Organization
મેસેજ,Product
ધરપત,Person
સંધિવામાં,Location
દુખાવો,Event
માસુમ,Person
આ અઠવાડિયે,Event
પ્રાથમિક શાળા,Organization
સાંસ્કૃત્તિક કાર્યક્રમો,Event
બાઇબલ,Person
સંકટ,Event
હિન્દુ,Person
સુશાંત સિંહ રાજપૂત,Person
નિધન,Event
સાધકો,Person
પ્રધાનમંત્રી,Person
ખીજડિયા,Location
તકતીનું અનાવરણ,Event
અંતિમ વિશ્રામી સ્થળ,Location
रघुबир दास,Person
ઝારખંડ,Location
જમશેદપુર,Location
એમ. સી. મેરી,Person
વર્લ્ડ વિમેન્સ બોક્સિંગ ચેમ્પિયનશિપ,Event
ઇનાયાની (Innaayanee),Organization
પોલીસ,Organization
જપ્ત,Location
જપ્ત,Event
રૂપિયાના શૂઝ,Product
રાજીવ ગાંધી,Person
હત્યા,Event
મોઝનેકે,Person
YouTube,Organization
અપમૃત્યુ,Person
હોસ્પિટલના ડોક્ટરો,Person
હોસ્પિટલ,Organization
,Location
દિલ્હી પોલીસ,Organization
દિલ્હી,Location
મારા,Person
એવોર્ડ,Event
ભારત,Location
જીત,Event
Sperry,Person
Sperry,Product
યોગી આદિત્યનાથ,Person
ઉત્તર પ્રદેશના સરકાર,Organization
ઉત્તર પ્રદેશ,Location
ઘટના,Event
વડા પ્રધાન,Person
ભારતનું સરકાર,Organization
ચૂંટણી,Event
રાજીવ કુમાર,Person
સીઆઈડી,Organization
પશ્વિમ બંગાળ,Location
જેમાં,Person
ઇડીએફ ટીમ,Organization
માઇક હેસન,Person
ભારતીય ટીમ,Organization
એપલાઈ,Organization
ચીન,Location
સંક્રમણ,Event
મહામારી,Event
ઔરંગાબાદ,Location
હૈદરાબાદ,Location
રાજ્યરાની,Location
રામપુર,Location
ટ્રેન દુર્ઘટના,Event
પેસેન્જર ટ્રેન,Product
આ,Person
બાઉન્ડ્રી,Location
બહાર,Event
સોજો,Person
પગની ઘૂંટી,Product
મેટલ,Organization
રિફાઈનરી,Organization
ઓટો,Organization
બેન્ક,Organization
આઈટી,Organization
મંદી,Event
કોંગ્રેસ,Organization
વિજય,Event
આરોપી,Person
મામલે,Event
એના,Person
દિન,Event
શીખવા,Organization
એમ વાલિયા,Person
સારવાર,Person
મોત,Event
નાના સ્પંદનો,Event
ઉત્તર પ્રદેશ,Location
બિહાર,Location
બંગાળ,Location
ઇ-કોમર્સ,Organization
સમય,Event
પોલીસ,Person
પોલીસ,Organization
ડોક્ટર,Person
ચતુરમુકેશ્વર મંદિર,Location
સ્વજનો,Person
પર્યટનના સ્થળે,Location
શીલા દિક્ષિત,Person
સંદીપ દિક્ષિત,Person
કોંગ્રેસ,Organization
દિલ્હી,Location
અઝલન શાહ,Person
ભારત,Location
જાપાન,Location
જિત,Event
હરાવ્યું,Event
અમારા,Person
આંતરિક,Organization
રોકાણ સુરક્ષા સંધિ,Event
ઋષિ કપૂર,Person
અંબાણી,Person
નીતૂ,Person
છોકરો,Person
જકત્કાર,Event
પીટર ક્રેગી,Person
સાંસદો,Person
ધારાસભ્યો,Person
પાર્ટી,Organization
રેલી,Event
હાલમાં મહિલા,Person
તેના પતિ,Person
પોલીસ,Organization
ભાજપ,Organization
ફાઇલનાં,Location
મોદી,Person
સરદાર પટેલ,Person
સ્ટેચ્યૂ ઓફ યુનિટી,Organization
મહિલા,Person
છત્રી,Product
ટોપી,Product
તજનો પાઉડર,Product
પીયુસી સર્ટીફીકેટ,Product
દસ્તાવેજ,Location
વિઝ્યુલાઇઝેશન,Organization
જોકે,Location
પેરન્ટ્સ,Person
બાળકો,Person
અધિકારી,Person
પ્રોપર્ટી રજિસ્ટ્રાકને,Organization
ફેવરિટ પ્લેસ,Location
તેમણે,Person
હુમલામાં,Event
પ્રવાસીઓ,Person
દેશ,Location
James G. Blain,Person
અધિકારીઓ,Person
ભાઈ,Person
રૂમ,Location
પાયલોટ,Person
પત્રકાર,Person
અભિનેત્રી,Person
પ્રણવ મુખર્જી,Person
દિલ્હીની આર્મી,Organization
દિલ્હી,Location
તેણે,Person
પાંચ અડધી સદી,Event
બે સદી,Event
Grand Budapest,Organization
2014,Event
એક ટાસ્ક કિલર,Person
યુવાન,Person
પોલીસે,Organization
મોત,Event
સીએબી,Organization
એનઆરસી,Organization
કોલકાતામાં,Location
લોકો વિરોધ પ્રદર્શન,Event
અજયકુમાર ભલ્લા,Person
ગૃહ મંત્રાલય,Organization
કોવિડ-1,Event
આવશ્યક ચીજવસ્તુ,Product
આ દંપતી,Person
પામેલા,Person
કેનેડા,Location
વેનકુવર આઇલેન્ડ,Location
ઘર,Location
લગ્ન,Event
સમારોહ,Event
સંજય દત્ત,Person
રણબીર કપૂર,Person
ગળામાં,Location
રૉબર્ટ વાડ્રાન,Person
તારુ,Person
અહીં,Location
દાઉદ,Person
હનીફની,Person
ભારત,Organization
ઇંગ્લેન્ડ,Organization
ભારત,Location
ઇંગ્લેન્ડ,Location
પ્રત્યાર્પણ,Event
પાંદડા,Location
લોકો,Organization
વાયદા,Location
સીઆઇડી,Organization
વોકેશનલ ટ્રેનિંગ સેન્‍ટર,Organization
પાટણ,Location
આનંદ,Person
મનોજ તિવારી,Person
ભાજપ,Organization
દિલ્હી,Location
Facebook,Organization
India,Location
payments service,Product
ફાઇલ પ્રવેશ,Organization
ભરત અરૂણ,Person
આર. શ્રીધર,Person
મકાનો,Location
રોકડા રૂ,Product
વેરિયન્ટ,Product
જમ્મૂ-કશ્મીર પોલીસ,Organization
જમ્મૂ-કશ્મીર,Location
પશ્ચિમ બંગાળ,Location
ચંદ્રકાંત પાટીલ,Person
લોયર કિશોર શિંદે,Person
ભાજપ,Organization
મહારાષ્ટ્ર નવનિર્માણ સેના,Organization
કોથરુડ,Location
સ્ત્રીરોગવિજ્ઞાની,Person
દવા,Product
યાજક,Person
દેવ,Person
અમેરિકન,Location
Mahendra Singh Dhoni,Person
Ranchi,Location
Cricket Tournament,Event
યહોવાહ,Person
પ્રાચી,Person
તહેલાન,Location
લગ્ન,Event
સુઝન,Person
સહકાર,Organization
રાજ,Person
નીતિઓ,Event
અમર,Person
અકબર,Person
સલમાન ખાન,Person
સેમસંગ,Organization
ેસબીઆઈ,Organization
એચડીએફસી બેંક,Organization
આઈસીઆઈસીઆઈ બેંક,Organization
એક્સિસ બેંક,Organization
કાર્ડ્સ,Product
એના,Person
શહેરી ક્ષેત્રો,Location
પડોશની,Location
આવાસીય પરિસરો,Location
બજાર,Location
શોપિંગ મૉલ,Location
સીસીટીવીએ,Organization
પ્રથમ ઉડાન,Event
તમન્ના,Person
સિનેજગત,Organization
બાપુનગર,Location
રૂ,Location
ભારત,Location
પાકિસ્તાન,Location
જીરો પ્વૉઈન્ટ,Location
તેણે,Person
ભવિષ્ય,Event
સૌની,Person
કાર્તિક,Person
બાઇબલ,Organization
બ્લેક કેટ,Organization
મિત્ર,Person
અમદાવાદ,Location
ગરબા,Event
પાનમસાલો,Product
શાહરૂખ ખાન,Person
અનુષ્કા,Person
રાસાયણિક,Product
ક્વિમીકો,Product
लોકો,Person
બજાર,Location
પિતા,Person
રાકેશ,Person
રોશન,Person
જિતેન્દ્ર કુમાર,Person
સરકાર,Organization
નરેન્દ્ર મોદી,Person
મુલાકાત,Event
વાર્તાલાપ,Organization
રામ,Person
રામરાજ્યનો પ્રારંભ,Event
યુવતી,Person
લગ્ન,Event
સ્વયં-ચકાસણી પાનું,Product
વૃષભ,Person
કર્મી,Person
કંપની,Organization
સામાજિક નેટવર્ક્સ,Organization
ઓર્ડિનલ,Product
સંચિત,Product
બીટા,Product
ગુણાંકનો,Product
મારી,Person
રાજકીય પાર્ટી,Organization
દેશ,Location
પાસે પાર્ટી છોડ્યા,Event
આશા,Person
બાઇબલ,Organization
કોંગ્રેસ પાર્ટી,Organization
સોનમ કપૂર,Person
વિક્કી કૌશલ,Person
પરેશ રાવલ,Person
અનુષ્કા શર્મા,Person
મનીષા કોઈરાલા,Person
દિયા મિર્ઝા,Person
તેણે,Person
મારા ભાઈ,Person
મોદી,Person
ચીન,Organization
લદ્દાખ,Location
રાજસ્થાન,Organization
રાજસ્થાન,Location
નિરવ મોદી,Person
મેહુલ ચોકસી,Person
પીએનબી,Organization
ચૂનો,Product
હાલ,Person
આંગણવાડી કેન્દ્ર,Organization
એ બધાનો,Organization
કાયદેસર,Organization
માટે,Event
અમે,Person
તમને,Person
