Entity,Type
దేవా,Person
సర్వ రక్షకుడా,Person
ఈ తన,Person
BJP,Organization
Haryana,Location
వణికించింది,Event
పోలీసులు,Organization
సెల్ ఫోన్,Product
Memory,Product
గోతబయ రాజపక్స,Person
ఇబ్రహిమ్‌ మొహమ్మద్‌ సోలిహ్,Person
కేపీ శర్మ ఓలి,Person
లోతయ్‌ షెరింగ్,Person
షేక్‌ హసీనా,Person
మోదీ,Person
శ్రీలంక,Organization
మాల్దీవుల,Organization
నేపాల్,Organization
భూటాన్,Organization
బంగ్లాదేశ్,Organization
అఫ్గానిస్తాన్,Organization
శ్రీలంక,Location
మాల్దీవుల,Location
నేపాల్,Location
భూటాన్,Location
బంగ్లాదేశ్,Location
అఫ్గానిస్తాన్,Location
Lib,Organization
పార్టెడ్ హెచ్చరిక,Event
కమల్‌హాసన్‌,Person
రాజస్థాన్ క్రీడా విశ్వవిద్యాలయం,Organization
రాజస్థాన్,Location
ఝున్‌ఝును పట్టణం,Location
ఇంటెలిజెన్స్,Organization
పిక్చర్,Product
షారుక్‌ ఖాన్‌,Person
అనుష్క,Person
ప్రకాష్ జవదేకర్,Person
"సమాచార, ప్రసార శాఖ",Organization
స్వతంత్ర్య,Event
ఆమె,Person
ముందు,Event
ఇశ్రాయేలు రాజు,Person
విద్యావంతుల్లో,Event
వెలెరి,Person
Hollywood,Organization
స్టోరేజ్,Organization
128 జీబీ,Product
256 జీబీ,Product
512 జీబీ,Product
బాలకృష్ణ,Person
రామ్,Person
ఒక్కరు,Person
వాళ్లు,Person
నేను,Person
ఆ తర్వాత ఎన్‌డీ తివారీ,Person
రోహిత్‌ శేఖర్‌,Person
ఉజ్జ్వల,Person
వివాహమాడారు,Event
ప్రభుత్వం,Person
మార్కెటింగ్,Product
భద్రతా దళాలు,Organization
రాజ్‌నాథ్‌సింగ్‌,Person
వేలు,Person
వాహనం,Product
డాక్టర్,Person
ప్రభుత్వం,Organization
ఎంఎస్‌పి,Organization
మెట్రిక్ టన్నులు,Product
భూమా అఖిలప్రియ,Person
కేసు,Event
నిరుద్యోగి,Person
నేను,Person
లిడియా,Person
ఆమె,Person
మన ఇల్లూ,Location
మన తోటా,Location
మన వస్తువులూ,Product
కౌశల్,Person
కెసిఆర్,Person
వైఎస్‌ జగన్‌మోహన్‌రెడ్డి,Person
పరిశోధన,Location
ఈకేసుని,Person
పోలీసులు,Organization
నా భార్య,Person
పుస్తకాల,Product
బసవ,Person
కన్నడం,Location
పంది ఎరువు,Product
వారు,Organization
మీరు,Person
కేవీఐసి,Organization
ఉత్పత్తి,Product
సోదరీసోదరులారా,Person
భారతీయుడు,Organization
భారతదేశం,Location
రామ్ గోపాల్ వర్మ,Person
ట్విట్టర్,Organization
"ఘాజీ', రెడ్డి",Person
క్రిష్,Person
జాగర్లమూడి,Person
రాజీవ్,Person
సాయిబాబు,Person
ఫెమ్,Organization
ఫస్ట్ ఫ్రేం ఎంటర్ టైన్మెంట్స్,Organization
స్పేస్ థ్రిల్లర్,Organization
అర్జున్,Person
ఆయన,Person
భారత్,Location
యెహోవా,Person
ఆయన,Person
వాడు,Person
మందులు,Product
ప్రవక్తయైన యిర్మీయా,Person
ప్రవక్తయైన హనన్యా,Person
యెహోవా,Person
దేవతలు,Person
మీము,Person
40వేలు,Person
యోగి ఆదిత్యనాథ్,Person
వెంటనే,Person
ప్రభుత్వ హాస్పిటల్స్,Organization
ఆరోగ్య శాఖ,Organization
షోరూమ్‌లు,Organization
టర్మ్,Organization
లక్షల టర్మ్ లైఫ్ ఇన్సూరెన్స్,Product
జారు,Person
ఉపాధి కార్యాలయం,Organization
7.3,Event
దీనిపై,Person
బీజేపీ,Organization
పెప్పర్,Product
ఆకుకూరలు,Product
ఉప్పు,Product
ఆయన,Person
వాళ్లు,Person
అక్కడ,Location
గేమ్,Event
నీవు,Person
యెహోవా,Organization
ముగ్గురు దుండగులు,Person
భద్రత బలగాలు,Organization
ఈ ఇద్దరి,Person
మరణించినట్టు,Event
నోబాల్,Person
రామ్ చరణ్,Person
ఎన్టీఆర్,Person
బైక్,Product
ఇంటి,Location
ఎన్టీఆర్,Person
కదనాయకుడు,Person
అహ్మదాబాద్,Location
గుజరాత్,Location
సంఘటన,Event
అలహాబాద్,Location
గంగా నది,Location
వరద,Event
భారత్,Organization
దీంతో,Location
దీంతో భారత్‌ టోర్నీ,Event
ఆ పిల్లాడి,Person
మామ,Person
ట్విట్టర్,Organization
మరియు,Event
ఆయన,Person
సిబిఐ,Organization
అజ‌య్‌దేవ‌గ‌న్,Person
బీజింగ్,Location
తెలంగాణ,Location
వర్ష సూచన,Event
ఎల్‌పీజీ,Product
సీఎం కేసీఆర్‌,Person
కోటి మంది హెల్త్​ వర్కర్లు,Person
ఫ్రంట్​ లైన్​ వారియర్లు,Person
ఇలాచి పౌడర్,Product
సంగీతం మరియు నృత్య కార్యక్రమం,Event
ఆయన,Person
ప్రయివేటు ఆసుపత్రి,Organization
షారుఖ్,Person
కాంగ్రెస్,Organization
రాజస్తాన్,Location
మద్యప్రదేశ్,Location
ఛత్తీస్‌ఘర్,Location
మనదేశం,Location
వారు,Person
ఆయన,Person
ఎన్నికల సంఘానికి,Organization
నేను,Person
పాక్ రైల్వే,Organization
అతని,Person
వాళ్ళిద్దరు,Person
HDC,Product
రిద్దిమా,Person
రణబీర్ కపూర్,Person
బాలీవుడ్,Organization
కార్తికేయన్,Person
మురళి,Person
జీవిత భాగస్వామి,Person
మనకి,Location
దీని వల్ల,Location
వేడిమి ప్రాంతాల్లో,Location
వైశ్యులు,Person
తన,Person
పోలీసులు,Person
పోలీసులు,Organization
ప్రభుత్వాలు,Organization
జీహెచ్ఎంసీ,Organization
హైదరాబాదు,Location
ఎన్నికలకు,Event
టాక్సిన్స్,Product
విద్యార్థినీల,Person
పోలీసులు,Person
పిల్లలు,Person
కోహ్లీ,Person
మ్యాచ్,Event
మెయిన్ రోడ్,Location
ట్రాఫిక్ జామ్,Event
భద్రత,Organization
పార్లమెంట్,Organization
ప్రస్తుత,Location
మహారాష్ట్ర,Location
కర్నాటక,Location
ఆంధ్రప్రదేశ్‌,Location
పౌలు,Person
అంత్యదినములలో,Event
ఆయన,Person
తుడుం,Location
మరుసటి రోజు,Event
భారత్,Location
చైనా,Location
ఆసియా కప్,Event
మహిళల హాకీ ఫైనల్,Event
ఆయన,Person
SD కార్డ్,Product
SD కార్డ్ స్లాట్,Product
U.S.,Organization
మీ,Person
Aravind Kejriwal,Person
Delhi,Location
పౌరుషగ్రంథి,Product
సమీర్ రెడ్డి,Person
àÀprabhùtva,Person
BJP,Organization
కానిస్టేబుల్,Person
నిందితుడు,Person
పోలీసులు,Organization
కేసు నమోదు,Event
రిమాండ్,Event
త్రివిక్రమ్,Person
అల్లు అర్జున్,Person
పూజా హెగ్డే,Person
అతడు,Person
ఎలీషా,Person
ఇశ్రాయేలురాజు,Person
ఇశ్రాయేలు,Organization
ఎమ్మెల్సీ నరేందర్‌రెడ్డి,Person
మాజీ ఎమ్మెల్యే గుర్నాథ్‌రెడ్డి,Person
ఆర్‌డిఓ వేణుమాదవరావు,Person
ఎల్లమ్మ,Person
ఎంపిపి ధయాకర్‌రెడ్డి,Person
సర్పంచ్ వేంకట్‌రెడ్డి,Person
జడ్పిటిసి,Organization
దేశం,Location
దారుణాలు,Event
వీరి,Person
దీపపు,Person
పెండ్లి కుమారుని,Person
పెండ్లికుమార్తె,Person
ఇందులో,Person
అమరవీరుల,Person
నౌషర్‌ఖాన్,Person
నవాన్‌షహర్,Location
సైమన్ మ్సంజిలా,Person
గనుల మంత్రిత్వశాఖ,Organization
మిరేరానీలో మైనింగ్‌ కార్యకలాపాలు,Event
ప్రభుత్వం,Organization
ఇంజనీర్లు,Person
సిబ్బంది,Person
ఆయన,Person
రోహిత్,Person
కంగనా రనౌత్,Person
కొత్‌ఖై,Person
కొత్‌ఖై,Location
షూటింగ్లు,Event
నా,Person
ఆడవాళ్లు,Person
మగాళ్లు,Person
టీమ్,Organization
గెలుపు,Event
స్వామి సనంద,Person
నేషనల్ రివర్ గంగా బేసిన్ అథారిటీ,Organization
యూపీఏ హయాం,Organization
సినిమా ఫస్ట్ లుక్,Event
పరలోకపు గవిని,Person
రాయితీ,Product
నూనె,Product
నా,Person
ప్రారంభకులకు,Organization
వీరిలో,Person
సౌత్-జోన్,Location
కేరళ,Location
నార్త్-జోన్,Location
ఉత్తర ప్రదేశ్,Location
ఈస్ట్-జోన్,Location
పశ్చిమబెంగాల్,Location
మీరు,Organization
పట్టణం,Location
ఎవరు,Person
కర్ణాటక,Location
ఒక మనిషి,Person
ఒక మహిళ,Person
ఆసనపురుగు,Product
జెర్సీ,Location
Building Information Modeling,Organization
BIM,Product
ేను,Person
ప్రత్యేక దర్యాప్తు బృందం (సిట్‌),Organization
మెన్,Person
ఇంగ్లాండ్,Organization
ఇంగ్లాండ్,Location
పీవీ నర్సింహారావు,Person
సురభి వాణీదేవి,Person
కేసీఆర్,Person
టీఆర్ఎస్,Organization
తన,Person
ఇన్స్టాల్,Product
వాటిలో,Product
సాధికారిత,Person
మహిళ,Person
ప్రభుత్వం,Organization
అమల్లోకి వస్తుందని,Event
BMW,Organization
BMW 7-Series,Product
దర్యాప్తు,Organization
రాజ్యాంగబద్ధ సంస్థల,Organization
దీపావళి,Event
సంజయ్ మంజ్రేకర్,Person
డిజైన్,Organization
జవానులు,Person
సీఆర్పీఎఫ్,Organization
దాడి,Event
ఐదవ తరానికి,Person
లెక్సస్ ఇండియా,Organization
ఎల్ఎస్ 500హెచ్ కారు,Product
ఆయన,Person
చికో వాటర్ పార్కు,Location
కొబ్బరి,Product
మామిడి,Product
సెంటర్ ఫర్ పర్సనల్ టాలెంట్ మేనేజ్‌మెంట్-CEPTAM,Person
సెంటర్ ఫర్ పర్సనల్ టాలెంట్ మేనేజ్‌మెంట్,Organization
CEPTAM,Organization
పోలీసులు,Organization
ప్రమాదం,Event
ఆయా,Person
ఆడియో ట్రాక్,Product
హైదరాబాద్,Location
నల్లగొండ,Location
కె చంద్రశేఖర్‌రావు,Person
చంద్రబాబు నాయుడు,Person
రమణ్ సింగ్,Person
తెలుగు,Organization
ఆంధ్రప్రదేశ్,Organization
చత్తీస్‌గడ్,Organization
తెలంగాణ,Organization
ఆంధ్రప్రదేశ్,Location
తెలంగాణ,Location
చత్తీస్‌గడ్,Location
హేమ,Person
అతను,Person
వారి జీవిత భాగస్వామి,Person
మంత్రిత్వ శాఖ,Person
విదేశీ మంత్రిత్వ శాఖ,Organization
పూరీ,Person
అనిల్‌ పాడూరి,Person
పూరి జగన్నాథ్‌,Person
చార్మీ కౌర్‌,Person
పూరీ కనెక్ట్స్,Organization
ఆఫీసర్లు,Person
పౌర్ణమి,Event
అమావాస్య,Event
వర్గం,Organization
జననాలు,Event
నిమ్మగడ్డ రమేష్ కుమార్‌,Person
రాష్ట్ర ఎన్నికల కమిషనర్‌,Organization
పితరులు,Person
అక్వేరియం,Organization
కోహ్లీ,Person
డివిలియర్స్,Organization
Android,Organization
Android,Product
పెను దుమారమే,Event
ఆమె,Person
ఆయన్ను,Person
ఆసుపత్రి,Organization
ఢిల్లీ,Location
ఇదంతా,Product
ఎలా,Product
సాధ్యం,Product
అంటారా,Product
అనిత,Person
మార్పులు,Event
ఎండబెట్టడానికి,Location
అవెన్,Location
ఎండబెట్టడానికి,Product
భారత్ జట్టు,Organization
భారతదేశపు,Organization
రాష్ట్ర,Location
చేపల,Product
ఆఫ్ఘనిస్తాన్‌,Location
పేలుడు,Event
Mumbai Indians,Organization
Delhi,Organization
Mumbai,Location
Delhi,Location
match,Event
ప్రయోగించిన,Event
క్షిపణులు,Product
మరోమారు,Person
వాస్తవాలే,Event
అతడు,Person
దావీదు,Person
అతని,Person
అతని కుమారులు,Person
యెహోవా,Person
వేడి పుట్టిస్తోంది,Product
ఎస్​బీఐ,Organization
న్యూ ఇయర్,Event
ఆకాశహర్మ్యం,Location
బీజేపీ,Organization
మధ్యప్రదేశ్,Location
ఛత్తీస్‌గఢ్,Location
రాజస్థాన్‌,Location
లోకేష్,Person
కనకరాజ్,Person
ఆసుపత్రి,Organization
వరద,Event
ట్రంప్‌,Person
డెహ్రాడూన్,Location
భారతదేశం,Location
ఉత్తరాఖండ్,Location
రాష్ట్రం,Location
దేవుని,Person
ఫ్లోరెైడ్,Product
జింక్,Product
మాలిబ్డినం,Product
సోడియం,Product
అయోడిన్,Product
ఇనుము,Product
కాల్షియం,Product
పీఎస్ మిత్రన్,Person
ఆయన,Person
ప్రభుత్వం,Organization
వ్యక్తి,Person
అధ్యయనం,Person
శ్రీ గౌడ,Person
శ్రీ,Person
"రసాయనాలు, ఎరువుల మంత్రిత్వ శాఖ",Organization
తాల్చెర్ ఫెర్టిలైజర్స్ లిమిటెడ్,Organization
మనము,Person
ప్రధాన మంత్రి,Person
టీఎంసీ నేతల,Person
పార్లమెంట్,Organization
సెంట్రల్ హాల్,Location
nirasan,Event
యెషయా,Person
దేవుని,Organization
నెరవేర్పులో,Event
గాయకులు,Person
రాజీనామా,Person
BJP,Organization
Gujarat,Location
Elections,Event
అంగదేశాన్ని రోమపాదుడు,Person
షేక్ హసీనా వాజెడ్,Person
కొబ్బరిపువ్వులో,Location
కొబ్బరిపువ్వులో,Product
వెండి,Product
యెహోవాసాక్షులు,Person
పౌలు,Person
తిమోత,Person
ఢిల్లీ,Location
విషాదం,Event
సంగారెడ్డి,Location
హరిదాస్‌పూర్,Location
గ్రామం,Location
భాదేర్వా,Location
మేలా పాట్,Event
వీళ్లే,Person
వైఎస్సార్,Person
సిపి,Organization
అల్లు అర్జున్,Person
త్రివిక్రమ్,Person
వైద్యుడి,Person
త్రిష,Person
ఘాట్,Location
అనుకూలమా,Person
బాబు,Person
పూణే,Location
సినిమా ఫస్ట్ షెడ్యూల్,Event
బిగ్ బాస్,Person
సీజన్ 3,Event
అతడు,Person
యెహోవా,Person
భారత్,Organization
మ్యాచ్,Event
అంతేకాక‌,Person
ఆయన,Person
యెహోవా,Person
నడికట్టు,Location
అక్టోబర్ 2001,Event
కాగా,Person
జీబీ,Organization
ఫోన్,Product
హైదరాబాద్,Location
ఎలా,Person
కాళ్ళపై,Location
పోలీసులు,Person
ఫార్చ్యూనర్,Organization
మహీంద్రా,Organization
దుర్మరణం,Event
ఎక్స్యూవీ500,Product
పవన్ కళ్యాణ్,Person
దేశం,Location
కాని,Person
పాల డెయిరీ,Organization
రామ్లీలా మైదానం,Location
కార్యక్రమానికి,Event
పాకిస్తాన్,Location
సల్మాన్‌ ఖుర్షిద్‌,Person
కవిత కృష్ణన్‌,Person
కవల్‌ ప్రీత్‌కౌర్‌,Person
గౌహర్‌రజ,Person
ప్రశాంత్‌ భూషణ్‌,Person
సీపీఐ (ఎంఎల్‌),Organization
కాంగ్రెస్‌,Organization
సన్నిధి,Location
పరిశుద్ధ వస్తువుల,Product
అతిపరిశుద్ధ వస్తువుల,Product
ఎలా,Person
తన,Person
ఢిల్లీ,Location
ఐసోలేషన్,Event
మార్కెట్,Location
వారి,Person
నితిన్ గడ్కారీ,Person
కేంద్ర,Organization
విరాట్ కోహ్లీ,Person
భారత్,Organization
పాకిస్తాన్,Organization
అమెరికా,Organization
వైమానిక సంఘర్షణ,Event
ఎఫ్-16,Product
డ్రోన్ కెమెరాల,Product
బ్రహ్మాస్త్ర,Product
ఆయన,Person
ఎన్టీఆర్,Organization
ఇంటర్వ్యూ,Event
ఓపెనర్లు,Person
ప్రజాస్వామ్యం,Organization
బవేరియా,Location
ప్రజాభిప్రాయ సేకరణ,Event
బీహార్,Location
కానీ,Person
కులగజ్జి,Product
యాద‌వ రెడ్డి,Person
తెలంగాణ‌,Location
ఎన్నిక,Event
శ్రీ సుబ్రమణ్యం,Person
సొసైటీ,Organization
ఆరోగ్య శాఖ,Organization
సంబంధిత ಅಧಿಕಾರುಲು,Organization
విచారణ,Event
అధికారి,Person
1919,Event
బెనడిక్ట్,Person
2005లో,Event
జగన్,Person
పవన్ కల్యాణ్,Person
రాహుల్ గాంధీ,Person
తమిళనాడు,Location
కేరళ,Location
పుదుచ్చేరి,Location
ఎన్నికల పర్యటన,Event
అతడి,Person
కన్నయ్య,Person
గాంధారి ఖిల్లా,Location
మంచిర్యాల జిల్లా,Location
మందమర్రి మండలం,Location
బొక్కలగుట్ట గ్రామానికి,Location
వీరిని,Person
ఆసుపత్రి,Organization
అతని,Person
హాస్పిటల్,Organization
దాన్ని,Person
రిజిస్టర్,Person
జగపతి,Person
గాంధీనగర్,Organization
జగపతి హోటల్‌,Location
గాంధీనగర్,Location
ఘటన,Event
గ్రేటర్‌,Organization
ఉత్తరప్రదేశ్‌,Location
నోయిడా,Location
యమునా ఎక్స్‌ప్రెస్‌వే,Location
రోడ్డు,Location
రోడ్డు ప్రమాదం,Event
ఈ సినిమా,Event
న్యాయ,Person
పోరాటం,Event
ఘటన,Event
నారాయణన్,Person
ట్రంప్,Person
భారత,Organization
అమెరికా,Location
సర్టిఫికేట్ ఆఫ్ సిటిజన్,Event
ప్రభుత్వ,Organization
స్కూళ్లో,Location
ఆమె,Person
పోలీసులు,Organization
వాడుతున్నరు,Person
ఎలక్ట్రికల్ వాహనాల,Product
ప్థానికులు,Person
అగ్నిమాపక,Organization
తెలంగాణా,Location
ఆంధ్ర ప్రదేశ్,Location
రాహుల్ గాంధీ,Person
రాష్ట్రీయ స్వయం సేవక్ సంఘ్,Organization
బిజెపి,Organization
బైబిలు,Product
ప్రియాంక చోప్రా,Person
నిక్ జోనాస్,Person
రాజస్థాన్,Location
జోధ్ పూర్,Location
వివాహం,Event
నిందితుడి,Person
మొబైల్,Product
ప్రయాణికులు,Person
మాస్క్‌లు,Product
గ్లౌజులు,Product
మొత్తం 200 మోట‌రైజ్‌డ్ ట్రై సైకిళ్ళు,Product
మాజీ చీఫ్ ఎలక్షన్ కమిషనర్ టీఎన్ శేషన్,Person
సంస్కరణల ఎజెండా,Event
ఫార్మా,Product
మెడికల్ డివైజెస్,Product
ఎపిఐల,Product
పోలీస్,Person
పోలీస్‌శాఖ,Organization
నిర్మలా సీతారామన్,Person
నేను,Person
మానాన్నగారు,Person
ఇషాంత్ శర్మ,Person
టెస్టుల్లో,Event
ఒక్కో రైతు,Organization
ఇతను,Person
ఉప రాష్ట్రప‌తి,Person
ప్ర‌ధాన మంత్రి,Person
పోలీసులు,Person
డ్రైవర్,Person
ఘటన స్థలానికి,Location
కేసు,Event
గ్రామీణ ప్రాంతాల,Location
టీచర్,Person
నేను,Person
ట్రైలర్,Event
ఇక్కడ్నుంచి,Location
అర్జంట్,Event
దేవేంద్ర ఫడ్నవీస్,Person
మహారాష్ట్ర,Organization
మహారాష్ట్ర,Location
ప్రమాణస్వీకారం,Event
ప్రతి,Location
ప్రాంతానిక్,Location
మల్లిక,Person
బియ్యం,Product
నీరు,Product
ప్రొఫెసర్ పి.సి. మహాలనోబిస్,Person
జాతీయ అవార్డు,Event
ఛానల్,Organization
ఆమె,Person
బైబిలు,Organization
ఇతను,Person
తండ్రి,Person
ఆత్మహత్య,Event
అధికారులు,Organization
అగ్ని ప్రమాద ఘటన,Event
ట్రాక్టర్,Product
కమల్‌ హాసన్‌,Person
మక్కల్‌ నీది మయ్యం,Organization
తమిళనాడు,Location
చెన్నై,Location
తమిళనాడు అసెంబ్లీ ఎన్నికల్లో,Event
సినిమా,Organization
ఉల్లి,Product
అతడు,Person
కోమలత్వం,Person
రామ్ గోపాల్ వర్మ,Person
హిజ్కియా,Person
సత్యమార్గమును,Product
ఆస్కార్ విజేతలు,Person
ఆస్కార్,Organization
ఆస్కార్ 2019,Event
ఎంపికచేసిన,Person
వీరి,Person
అడవి,Location
తన,Person
అల్లుడు,Person
పెద్దకోడలు,Person
మేనల్లుడి,Person
మనవరాలి,Person
ఆండ్రాయిడ్,Organization
ఐస్‌క్రీమ్,Product
అలాగే,Person
పోలీస్,Organization
చిలకలగూడ,Location
పోలీస్‌స్టేషన్,Location
ఘటన,Event
హైదరాబాద్,Location
ఘటనే,Event
విషయాలు,Event
భారత్,Organization
పాకిస్థాన్,Location
గురుద్వారా,Location
దాడి,Event
కివిఫుట్స్,Product
అర్జెంటీనా,Organization
ఇటలీ,Organization
స్పెయిన్,Organization
జపాన్,Organization
బ్రెజిల్,Organization
అర్జెంటీనా,Location
ఇటలీ,Location
స్పెయిన్,Location
జపాన్,Location
బ్రెజిల్,Location
రాకేషఖ్,Person
వైభవ్ పిచాడ్,Person
మధుకర్ పిచాడ్,Person
ఎన్సీపీ,Organization
అహ్మద్నగర్ జిల్లా,Location
అఖోలె మండల,Location
పోలీస్,Person
పోలీస్,Organization
బిస్ఫీ,Location
బిజినెస్,Organization
జట్టు,Organization
లీగ్,Event
ఆయన,Person
ఎన్95 మాస్కుల,Product
ప్రమీల,Person
కథలు,Event
మారుతి సుజుకి,Person
మారుతి సుజుకి,Organization
ఇకో బిఎస్ 6,Product
దానికి సంబంధించిన వీడియోని కూడా,Event
కళాశాల,Organization
ఇంట‌ర్వ్యూ,Event
100మార్కుల‌,Product
విశాల్,Person
శేఖర్,Person
కంపాలా,Organization
రాజధాని,Location
ఎంటెబే,Location
సరస్సు,Location
కంటైన్మెంట్ జోన్ల,Location
కృష్ణమూర్తి,Person
భారతీయ జనతా పార్టీ,Organization
దక్షిణాది,Location
కేరళ,Location
తమిళనాడు,Location
కర్ణాటక,Location
ఆంధ్రప్రదేశ్,Location
అక్కా,Person
అక్కమ్మ,Person
హైదరాబాద్,Location
నితీశ్ కుమార్,Person
బిహార్,Organization
ప్రమాణ స్వీకారం,Event
నాగ్,Person
నారా లోకేష్,Person
టిడిపి,Organization
చిత్రం,Event
నిందితుడిని,Person
వాళ్ల,Person
ఏపీ,Location
జైట్లీ,Person
గోయల్,Person
ఆర్థిక శాఖ,Organization
కార్పొరేట్ వ్యవహారాల శాఖ,Organization
సహదేవన్,Person
అసెంబ్లీ,Organization
కున్నతూరు,Location
నియోజకవర్గం,Location
2016 అసెంబ్లీ ఎన్నికల్లో,Event
మాకు,Person
యెహోవా,Person
మెట్రో,Organization
దీని,Product
ముకేశ్‌ అంబానీ,Person
హురున్,Person
అనాస్ రెహమాన్‌,Person
జగన్,Person
విజయసాయి రెడ్డి,Person
వర ప్రసాద్,Person
మిథున్ రెడ్డి,Person
పెద్ది రెడ్డి,Person
రోజా,Person
చెవిరెడ్డి,Person
శ్రోతల,Event
ఆయన,Person
పుట్టనరోజు,Event
చికిత్సా,Organization
మగాళ్లు,Person
ఒక,Person
టీకాని,Event
తొలి,Person
మ్యాచ్,Event
కిల్లింగ్‌ వీరప్పన్‌,Person
ఆత్మ,Person
హత్యతో,Event
ఆలయ,Location
ఆలయ నిర్మాణ పనులు ప్రారంభమయ్యాయి,Event
సాగించారు,Person
భారతదేశ,Location
విజయ్‌ మాల్యా,Person
మెహుల్‌ చోక్సీ,Person
డిబిటి,Organization
జెన్నోవా నొవెల్,Product
ఎంఆర్ఎన్ఎ,Product
పర్యావరణ,Person
ఆందోళనలు,Event
అందాల,Product
సార్వత్రిక ఎన్నికల్లో,Event
హ్యుండాయ్,Organization
చైనా,Location
ఆవిష్కరణ,Event
ఐఎక్స్25,Product
రాజీవ్ గాంధీ,Person
జెపి నడ్డా,Person
రాజీవ్ గాంధీ ఫౌండేషన్,Organization
బిజెపి,Organization
చైనా,Location
భూషణ్ కుమార్,Person
33W,Organization
ఫోన్,Product
అనిల్ రావిపూడి,Person
ఎఫ్ 2,Product
భర్త,Person
భార్యపట్ల,Person
India,Location
England,Location
Victory,Event
ప్రభుత్వ,Organization
బాధితుల,Person
నీలోఫర్‌ ఆస్పత్రి,Organization
అస్సాం,Location
ఇండియన్‌ ఓవర్‌సీస్‌ బ్యాంకు,Organization
లాల్ బ‌హదూర్ శాస్త్రి,Person
వివేక్ అగ్నిహోత్రి,Person
మరణం,Event
మేలో,Person
లోక్‌సభ,Organization
లోక్సభ,Event
కాగా,Event
పాత శివ,Person
విష్ణు,Person
హొయసల రాజవంశం,Organization
పరిశ్రమికుడు,Person
ప్రాజెక్ట్ మేనేజ్మెంట్,Organization
గుంటూరు,Location
పోలీసులు,Person
కార్లు,Product
యువకుడి,Person
అతని స్నేహితుడి,Person
విశ్లేషకులు,Product
దంపతులు,Person
రైలు,Organization
అని,Person
టీపీసీసీ అధ్యక్షుడు,Person
Quark,Organization
Snapdragon 855,Product
కెసిఆర్,Person
నూట ఇరవై తిరపతులు,Person
కొత్తలో,Location
దీని,Organization
హృతిక్ రోషన్,Person
టైగర్ ష్రాఫ్,Person
ప్రభుత్వం,Person
టిడిపి,Person
టిడిపి,Organization
గుజరాత్,Location
