Word,Tag
મોદી,I-PER
ડોનાલ્ડ,B-PER
ટ્રમ્પ,I-PER
એસિડિટી,B-PROD
BCG,B-ORG
ટ્યુબેકોલોસીસ (TB),B-PROD
BCG,B-PROD
બંને,B-PER
પ્રધાનમંત્રીઓ,I-PER
વીડિયો કોન્ફરન્સ,B-EVT
સુમન,B-PER
રાવ,I-PER
ગુજરાત,B-ORG
ATS,I-ORG
ઘર,B-LOC
વિદેશી,B-ORG
કંપનીઓ,I-ORG
દક્ષિણ મુંબઈ,B-LOC
કપડાં,B-PROD
હીરા,B-PROD
જ્વેલરી,B-PROD
ફાર્માસ્યુટિકલ,B-PROD
ઇલેક્ટ્રૉનિક્સ,B-PROD
જોકે,B-PER
ઇતિહાસ,B-EVT
યહોવાહે,B-PER
શેતાન,B-PER
Bond,B-ORG
Funds,B-PROD
પતિ,B-PER
ગ્રામજનો,B-PROD
તેઓ,B-PER
મહિષાસુર,B-PER
મા,B-PER
દુર્ગા,B-PER
દુર્ગાપૂજા,B-EVT
તેણે,B-PER
એક,B-ORG
અભ્યાસ,I-ORG
દાવો કરવામાં,B-EVT
પ્રશાંત,B-PER
પટેલ,I-PER
શ્રીગણેશ,B-PER
કોંગ્રેસ,B-ORG
વડોદરા,B-LOC
પ્રચાર,B-EVT
એનાથી,B-ORG
યહોવાહ,B-PER
શાહરુખ,B-PER
ખાન,I-PER
ભારતીય,B-ORG
સિનેમા,I-ORG
लા,B-ORG
ટ્રોબ,I-ORG
યુનિવર્સિટી,I-ORG
અસ્ટ્રેલિયા,B-LOC
મેલબર્ન,B-LOC
ગ્રીન,B-ORG
ટ્રેન,I-ORG
ધોધમાર,B-LOC
વરસાદ,B-EVT
Terriers,B-PROD
દિલિપ,B-PER
વેંગસ્કર,I-PER
લોર્ડ્સ,B-ORG
1986,B-EVT
ઓફિસ,B-ORG
યહોવાહ,B-PER
ધરપકડ,B-EVT
જોકે,B-PER
બીજેપી,B-ORG
જર્મની,B-LOC
સેનાધ્યક્ષ,B-PER
બિપિન,I-PER
રાવત,I-PER
LoC,B-LOC
લસણ,B-PROD
રોહિત,B-PER
શર્મા,I-PER
ભારત,B-ORG
નવી દિલ્હી,B-LOC
આંબળા જ્યુસ,B-PROD
હિન્દુસ્તાન,B-LOC
નરેન્દ્ર,B-PER
મોદી,I-PER
મમતા,B-PER
બેનર્જી,I-PER
Euromaster,B-ORG
Masterrcard,B-ORG
Vizah,B-ORG
Master,B-ORG
Eurocard,B-PROD
MasterCard,B-PROD
પરિવારજનો,B-PER
બોક્સ,B-ORG
ઉત્તર,B-LOC
પૂર્વ ભારત,B-LOC
ફિલ્મ,B-EVT
ઘોડાપૂર,B-LOC
આ રીતે,B-EVT
તે,B-PER
પોલીસ,B-PER
પોલીસ,B-ORG
અમિત,B-PER
શાહ,I-PER
રામ,B-PER
અયોધ્યા,B-LOC
બનશે,B-EVT
ગગનચુંબી રામ મંદિર,B-PROD
જિલ્લે,B-ORG
પ્રશાસન,I-ORG
જમ્મુ-કાશ્મીર,B-LOC
કઠુઆ જિલ્લા,B-LOC
બેટી બચાવો-બેટી પઢાઓ યોજના,B-EVT
મારી,B-PER
મારુતિ,B-ORG
સુઝુકી,B-ORG
2018 ઓટો એક્સ્પો,B-LOC
2018 ઓટો એક્સ્પો,B-EVT
હાઈબ્રિડ વર્ઝન,B-PROD
ધ્રૃવ વિસ્તાર,B-LOC
લોકો,B-PER
સાયન્ટિસ્ટ,B-PER
શેતાન,B-PER
બાઇબલ,B-ORG
એમેઝોન,B-ORG
ખાંડ,B-PROD
પરતંત્રતા,B-PER
પ્રેમ,B-PER
તે,B-PER
ભારત,B-LOC
સ્માર્ટફોન,B-PROD
રાહુલ,B-PER
GST,B-ORG
ડીજિટલ,B-ORG
કાર્ડ,B-PROD
હોન્ડા,B-ORG
ઈસુ,B-PER
શ્રી,B-PER
નરેન્દ્ર,I-PER
મોદી,I-PER
અમદાવાદ,B-LOC
સાબરમતી રિવરફ્રન્ટ,B-LOC
અમદાવાદ શોપિંગ ફેસ્ટિવલ – 2019,B-EVT
પ્રાથમીક તારણમાં,B-EVT
અર્જુન,B-PER
મલાઇકા,B-PER
વાણી,B-PER
રોબર્ટ,B-PER
વાડ્રાને,I-PER
દિલ્હી,B-ORG
કોર્ટ,I-ORG
દેશ,B-LOC
દિલ્હી,B-LOC
Social,B-ORG
Media,I-ORG
વિદેશી,B-ORG
એજન્સીઓ,I-ORG
અનિલ,B-PER
કુંબલે,I-PER
કપિલ,B-PER
દેવ,I-PER
હરભજન,B-PER
સિંઘ,I-PER
વિદ્યાર્થીઓ,B-PER
જૂથો,B-ORG
સુશાંત,B-PER
સિંહ,I-PER
રાજપૂત,I-PER
આ,B-ORG
સંમેલન,I-ORG
પોટેટો,B-ORG
કોન્ફરન્સ,I-ORG
એગ્રી,B-ORG
એક્સ્પો,I-ORG
પોટેટો,B-ORG
ફિલ્ડ,I-ORG
પોટેટો કોન્ફરન્સ,B-EVT
એગ્રી એક્સ્પો,B-EVT
પોટેટો ફિલ્ડ ડે,B-EVT
સંપત્તિ,B-PROD
ખટોદરામ,B-PER
ખટોદરામ,B-LOC
ઈસુ,B-PER
રાજ,B-EVT
ઈશ્વર,B-PER
નુહ,B-PER
સિમી,B-PER
ગરેવાલ,I-PER
રાજીવ,B-PER
ગાંધી,I-PER
પોલીસ,B-PER
પોલીસ,B-ORG
પાડોશી,B-LOC
રેલ્વે બ્રિજ,B-LOC
ભાજપ,B-ORG
કોંગ્રેસ,B-ORG
ગુજરાત,B-LOC
ચૂંટણી,B-EVT
ભારત,B-LOC
સંક્રમણ,B-EVT
BSE,B-ORG
NSE,B-ORG
ડોક્ટરો,B-PER
તમને,B-PER
શાહરુખ,B-PER
ઐશ્વર્યા,B-PER
રાય,I-PER
અર્ચના,B-PER
સદાનંદ,I-PER
શાહરુખ,B-PER
ટ્રેલરચાલક,B-PER
ટ્રેલર,B-PROD
સરકાર,B-ORG
એલજી,B-ORG
સુપ્રીમ,B-ORG
કોર્ટ,I-ORG
દિલ્હી,B-LOC
ડૉ.,B-PER
સુસે,I-PER
કારથી ભરેલી શેરી,B-LOC
સાયકલ,B-PROD
નસકોરા,B-ORG
જરેલુ,B-LOC
છુટકારો,B-PROD
અખિલેશ,B-PER
યાદવ,I-PER
સમાજવાદી,B-ORG
પક્ષ,I-ORG
રોમાન,B-PER
હાર્ટસોકે,I-PER
ફેડ્રલ,B-ORG
રિપબ્લિક,I-ORG
ઑફ,I-ORG
જર્મની,I-ORG
૧૯૯૮માં,B-EVT
ગીતશાસ્ત્ર,B-PER
હેબ્રી,B-ORG
તેમના,B-PER
ખાનગી,B-ORG
હોસ્પિટલ,I-ORG
કમ્પ્યૂટર,B-LOC
મોનિટર,B-PROD
બિલાડી,B-PROD
ભારતની,B-ORG
લીગ,I-ORG
ન્યૂઝીલેન્ડ,B-LOC
રમાનારી મેચ,B-EVT
તબીબો,B-PER
NMC,B-ORG
બીલીમોરામ,B-LOC
રેલી,B-EVT
ધરણા,B-EVT
બાળકો,B-PER
પિતા,B-PER
કેસ દાખલ,B-EVT
લીંબુ,B-PROD
પ્રારંભ,B-LOC
પ્રારંભ,B-EVT
શાનદાર,B-PER
ખ્વાજા,B-PER
આસિફ,I-PER
ભારતીય,B-PER
સેનાના,I-PER
પ્રમુખ,I-PER
પાકિસ્તાનના,B-ORG
વિદેશ,I-ORG
મંત્રી,I-ORG
ભારતીય,B-ORG
સેના,I-ORG
સોશિયલ,B-ORG
મીડિયા,I-ORG
સીસીટીવી,B-PROD
એની,B-PER
ફિલ્મ,B-PROD
બીઅર,B-PROD
ઇતિહાસ સ્થળો,B-LOC
સ્થળ,B-LOC
લતા,B-PER
મંગેશકર,I-PER
પુરા,B-EVT
નાગપુર,B-ORG
વિશ્વવિદ્યાલય,I-ORG
નાગપુર,B-LOC
નવી,B-PER
વિધાનસભા,B-ORG
રચના,B-EVT
ઇલાવ,B-PER
ગામના,I-PER
લોકો,I-PER
ઇલાવ ગામ,B-LOC
ખેત,B-PROD
ખેતમજૂરી,B-PROD
પશુ,B-PROD
કોકો,B-PROD
પલંગની,B-LOC
દરવાજાની,B-LOC
બંદર,B-LOC
વહાણ,B-PROD
દરેક,B-PER
લોકો,I-PER
તેણે,B-PER
બીસીસીઆઇ,B-ORG
અને,B-PER
કર્ણાટકના,I-PER
પૂર્વ,I-PER
સીએમ,I-PER
સિદ્ધારમૈયા,B-PER
કોંગ્રેસ,B-ORG
કર્ણાટક,B-LOC
સેના,B-ORG
સીઆરપીએફ,B-ORG
જમ્મુ,B-ORG
પોલિસ,I-ORG
જમ્મુ,B-LOC
સર્ચ ઑપરેશન,B-EVT
હું,B-PER
યુવાન,B-PER
પોલીસ,B-ORG
ચાલક,B-PER
સૈયદ,B-PER
ઉસ્માન,I-PER
સૈયદ,B-PER
બુરહાનુદ્દીન,I-PER
કુતુબુલ,B-ORG
આલમ,I-ORG
મહિલા,B-PER
નવી,B-ORG
દિલ્હી,I-ORG
નવી દિલ્હી,B-LOC
રાફેલ,B-ORG
ભારત,B-LOC
પાકિસ્તાન,B-LOC
રાફેલ ફાઈટર વિમાન,B-PROD
મહિલા,B-PER
નરવણ,B-PER
રાષ્ટ્રીય,B-ORG
રાઇફલ્સ,I-ORG
બટાલિયન,I-ORG
ઈન્ફૈન્ટ્રી,B-ORG
બ્રિગેડ,I-ORG
જમ્મુ-કાશ્મીર,B-LOC
પૂર્વીય મોરચા,B-LOC
મહિલા,B-PER
કેમ્બ્રિજ,B-ORG
યુનિવર્સિટી,I-ORG
પ્રેસ,I-ORG
કેમ્બ્રિજ,B-LOC
ન્યૂ યોર્ક,B-LOC
ગીતશાસ્ત્ર,B-PER
યહોવાહ,B-PER
દેવ,B-ORG
કંપની,B-ORG
આફ્રિકા,B-LOC
ઉત્તર અમેરિકા,B-LOC
ડોફિનનું વેચાણ,B-PROD
યહોવાહ,B-PER
મુસા,B-PER
Quallcomm,B-ORG
Snapdragon 730G,B-PROD
બાળકો,B-PER
એનએમઓઓપી,B-ORG
નેશનલ,B-ORG
મિશન,I-ORG
ઓન,I-ORG
ઓઇલસીડ્સ,I-ORG
એન્ડ,I-ORG
ઓઇલ,I-ORG
પામ,I-ORG
ઓઇલ,B-PROD
તેમણે,B-PER
DAV,B-ORG
કોલેજ,I-ORG
કાનપુર,B-LOC
ભારત,B-LOC
અમેરિકા,B-LOC
વાતચીત,B-EVT
સ્પેનના,B-PER
રાફેલ,I-PER
નડાલ,I-PER
સ્વિત્ઝર્લેન્ડના,B-PER
રોજર,I-PER
ફેડરર,I-PER
જીવન,B-ORG
સુધારતા,I-ORG
નવા નિયમ,B-EVT
મારી,B-PER
અમે,B-PER
જો,B-PER
રુટ,I-PER
ઇંગ્લેન્ડ,B-ORG
શાળાઓ,B-ORG
વારાણસી જિલ્લા,B-LOC
LED બલ્બ,B-PROD
ફુગાવો,B-PER
તમારે,B-PER
મહિલાએ,B-PER
આરોપી,B-PER
તેમણે,B-PER
પોસ્ટલ વોટની ગણતરી,B-EVT
ીય,B-ORG
સેના,I-ORG
કાર,B-PROD
राम,B-PER
निवास,I-PER
गوید,I-PER
દિલ્હી,B-ORG
વિધાનસભા,I-ORG
દિલ્હી,B-LOC
હું,B-PER
નિતિન,B-PER
ગડકરી,I-PER
ભાજપ,B-ORG
મુંબઈ,B-LOC
બ્લેક,B-PER
કોંગ્રેસ,B-ORG
જેડીએસ,B-ORG
રાજ્ય,B-LOC
ગઠબંધન,B-EVT
ભાંગ્યુ,B-EVT
ગૅરી,B-PER
હિપ,B-ORG
હિપ રિપ્લેસમેન્ટ ઑપરેશન,B-EVT
કેન્દ્રીય,B-PER
માનવ,I-PER
સંસાધન,I-PER
અને,I-PER
વિકાસમંત્રી,I-PER
સરકાર,B-ORG
કેન્દ્રીય,B-ORG
માનવ,I-ORG
સંસાધન,I-ORG
અને,I-ORG
વિકાસમંત્રી,I-ORG
સિક્કિમ,B-ORG
યુનિવર્સિટી,I-ORG
સિક્કિમ,B-LOC
આપણે,B-PER
અમે,B-PER
ભારતીય,B-ORG
સેના,I-ORG
યુદ્ધવિરામ,B-EVT
ઘર,B-ORG
ફોન,B-PROD
એન્જિન,B-PROD
આરોપી,B-PER
પોલીસ,B-ORG
સાઉદી,B-ORG
અરબ,I-ORG
ભારત,B-LOC
તેઓ,B-PER
મધ્ય,B-ORG
પ્રદેશ,I-ORG
હાઈકોર્ટ,I-ORG
ચેરીટેબલ,B-ORG
ટ્રસ્ટસ,I-ORG
રાફેલ,B-PER
ડીલ,B-PER
દેશ,B-LOC
વિવાદ,B-EVT
પી.,B-PER
ચિદમ્બરમ,I-PER
કોંગ્રેસ,B-ORG
ઇનોકસ,B-ORG
પ્રતિમા,B-PER
સંમારકામ,B-EVT
ગૌરવ,B-PER
ડેથ બનો,B-EVT
પોલીસે,B-PER
સૂસાઇડ,B-EVT
અંહી,B-LOC
તાહિર,B-PER
હુસૈન,I-PER
દિલ્હી,B-LOC
હિંસા કડકડડુમા,B-EVT
મોટા,B-PER
વપરાયેલ કાર,B-PROD
માધ્યમિક,B-ORG
શિક્ષણ,I-ORG
બોર્ડ,I-ORG
પૂરક પરીક્ષા,B-EVT
વ્યક્તિ,B-PER
જમીન,B-LOC
હાઉડી,B-PER
મોદી,B-PER
હ્યૂસ્ટન,B-LOC
વરસાદે મચાવી તબાહી,B-EVT
ગુજરાત,B-LOC
ફેરબદલી,B-EVT
P.,B-PER
Chidambaram,I-PER
iarex,B-ORG
media,I-ORG
તીહાડ જેલ,B-LOC
હુમલા,B-EVT
અદાલત,B-PER
ફિલ્મ,B-ORG
બોક્સ ઓફિસ,B-EVT
બિજનોર,B-LOC
કાનપુર,B-LOC
બલિયા,B-LOC
ગંગાયાત્રા,B-EVT
રાજ્યભર,B-LOC
હું,B-PER
કાળજી,B-ORG
વૃક્ષારોપણ,B-EVT
તે,B-PER
કામ,B-PER
અલ્હાઝ,B-PER
ઓવન,B-PROD
એબીસીએલ,B-ORG
भारत,B-LOC
ગુજરાત,B-LOC
વીડિયો,B-PROD
બ્રિસબેન,B-LOC
અફઘાનિસ્તાન,B-LOC
ઈંગ્લેન્ડ,B-LOC
મોબાઇલ ફોન,B-PROD
નીલ્સ,B-PER
રેકેલ,B-PER
પહાડો,B-LOC
સમુદ્ર,B-LOC
આફ્રિકા,B-LOC
મેજર,B-PER
રીડ,I-PER
ટૂકડી,B-ORG
બાઇબલ,B-PROD
મહિલા,B-PER
પુરુષ,B-PER
પુરુષ,B-PER
ઘટનાસ્થળ,B-LOC
મોત,B-EVT
નેશનલ,B-ORG
હાઉસિંગ,I-ORG
બેંક,I-ORG
ભારત,B-LOC
સિલ્ક સાડી,B-PROD
સુરત,B-ORG
સુરત,B-LOC
ક્રિસ,B-PER
ગેલ,I-PER
રોહિત,B-PER
શર્મા,I-PER
ઓસ્ટ્રેલિયા,B-LOC
ચેન્નઈ,B-PER
સુપર,I-PER
કિંગ્સ,I-PER
ચેન્નઈ,B-ORG
સુપર,I-ORG
કિંગ્સ,I-ORG
ડીઝલ,B-PROD
પેટ્રોલ,B-PROD
સીએનજી,B-PROD
ગાંધી,B-PER
ગાંધીમૂલ્યો,B-ORG
ઈશ્વર,B-PER
ભૂમિ,B-PER
પેંડણેકર,I-PER
ફિલ્મ,B-EVT
જિયા,B-PER
આત્મહત્યા,B-EVT
કેલિફોર્નિયા,B-LOC
આગ,B-EVT
અમિત,B-PER
શાહ,I-PER
ભાજપ,B-ORG
ઓસ્ટ્રેલિયા,B-LOC
ઓસ્ટ્રેલિયામાં,B-LOC
ટ્રમ્પ,B-PER
વહીવટી,B-ORG
તંત્ર,I-ORG
ભણસાલી,B-PER
શેક્સપિયર,B-PER
રોમિયો,B-PER
જુલિયટ,B-PER
રામલીલા ફિલ્મ,B-PROD
અસ્થિસુષિરતા,B-LOC
સંબંધ,B-EVT
પ્રધાનમંત્રી,B-PER
મોદી,B-PER
ગુજરાત,B-LOC
રાજનાથ,B-PER
સિંહ,I-PER
યોગી,B-PER
આદિત્યનાથ,I-PER
સોશિયલ,B-ORG
મીડિયા,I-ORG
આ ઘટના,B-EVT
નરેન્દ્ર,B-PER
મોદી,I-PER
થાઇલેન્ડ,B-LOC
વ્યક્તિ,B-PER
મીરા,B-PER
ઇન્સ્ટાગ્રામ,B-ORG
અધિકારી,B-PER
ફાયર,B-ORG
વિભાગ,I-ORG
ઘટનાસ્થળ,B-LOC
ઘટના,B-EVT
દલિત,B-PER
ભાજપ,B-ORG
અત્યાચાર મુદ્દે,B-EVT
મહિલા,B-PER
અમદાવાદ,B-ORG
સાયબર,I-ORG
ક્રાઇમ,I-ORG
પોલીસ,I-ORG
સ્ટેશન,I-ORG
અમદાવાદ,B-LOC
પ્રધાનમંત્રી,B-PER
ફિલ્મ,B-PROD
વીડિયો,B-PROD
Varian,B-ORG
8GBરેમ/256GB સ્ટોરેજ વેરિએન્ટ,B-PROD
12GB રેમ/256GB સ્ટોરેડ વેરિએન્ટ,B-PROD
મંદિર,B-LOC
ભાઈ,B-PER
વિશ્વાસુ,B-PER
અને,B-PER
શાણા,B-PER
ચાકર,B-PER
નિયામક,B-PER
કાનૂની,B-ORG
નિગમ,I-ORG
પુરુષ,B-PER
સ્ત્રી,B-PER
યુવતીઓ,B-PER
અમિતાભ,B-PER
બચ્ચન,I-PER
અભિષેક,B-PER
બચ્ચન,I-PER
ઐશ્વર્યા,B-PER
રાય,I-PER
બચ્ચન,I-PER
આરાધ્યા,B-PER
બચ્ચન,I-PER
કોરોના,B-EVT
ઈસુ,B-PER
કાઈસારીઆ,B-LOC
ફિલિપીમાં,B-LOC
ધંધા,B-LOC
ભારત,B-LOC
શિષ્યવૃત્તિ,B-EVT
જસદણ,B-PER
ભાજપ,B-ORG
ચૂંટણી,B-EVT
ભારત,B-LOC
વિકાસદર,B-EVT
મધ્યપ્રદેશ,B-LOC
વરસાદ,B-EVT
ઇન્દિરા,B-PER
ગાંધી,I-PER
લાભ,B-EVT
ભારત,B-ORG
સંત,B-PER
આર્શીવચન,B-PER
ભાઇ,B-PER
શાસ્ત્રી,B-PER
વિરાટ,B-PER
કોહલી,I-PER
India,B-ORG
Israel,B-ORG
Palestine,B-LOC
ઉમેદવારી પરત,B-EVT
હેલ્મેટ,B-PROD
ટોપલી,B-PROD
મોટરસાઇકલ,B-PROD
તેને,B-ORG
આઈપીએલ 2020,B-EVT
વોટ્સએપ,B-ORG
મેસેજ,B-PROD
ધરપત,B-PER
સંધિવામાં,B-LOC
દુખાવો,B-EVT
માસુમ,B-PER
આ અઠવાડિયે,B-EVT
પ્રાથમિક,B-ORG
શાળા,I-ORG
સાંસ્કૃત્તિક કાર્યક્રમો,B-EVT
બાઇબલ,B-PER
સંકટ,B-EVT
હિન્દુ,B-PER
સુશાંત,B-PER
સિંહ,I-PER
રાજપૂત,I-PER
નિધન,B-EVT
સાધકો,B-PER
પ્રધાનમંત્રી,B-PER
ખીજડિયા,B-LOC
તકતીનું અનાવરણ,B-EVT
અંતિમ વિશ્રામી સ્થળ,B-LOC
रघुबир,B-PER
दास,I-PER
ઝારખંડ,B-LOC
જમશેદપુર,B-LOC
એમ.,B-PER
સી.,I-PER
મેરી,I-PER
વર્લ્ડ વિમેન્સ બોક્સિંગ ચેમ્પિયનશિપ,B-EVT
ઇનાયાની,B-ORG
(Innaayanee),I-ORG
પોલીસ,B-ORG
જપ્ત,B-LOC
જપ્ત,B-EVT
રૂપિયાના શૂઝ,B-PROD
રાજીવ,B-PER
ગાંધી,I-PER
હત્યા,B-EVT
મોઝનેકે,B-PER
YouTube,B-ORG
અપમૃત્યુ,B-PER
હોસ્પિટલના,B-PER
ડોક્ટરો,I-PER
હોસ્પિટલ,B-ORG
દિલ્હી,B-ORG
પોલીસ,I-ORG
દિલ્હી,B-LOC
મારા,B-PER
એવોર્ડ,B-EVT
ભારત,B-LOC
જીત,B-EVT
Sperry,B-PER
Sperry,B-PROD
યોગી,B-PER
આદિત્યનાથ,I-PER
ઉત્તર,B-ORG
પ્રદેશના,I-ORG
સરકાર,I-ORG
ઉત્તર પ્રદેશ,B-LOC
ઘટના,B-EVT
વડા,B-PER
પ્રધાન,I-PER
ભારતનું,B-ORG
સરકાર,I-ORG
ચૂંટણી,B-EVT
રાજીવ,B-PER
કુમાર,I-PER
સીઆઈડી,B-ORG
પશ્વિમ બંગાળ,B-LOC
જેમાં,B-PER
ઇડીએફ,B-ORG
ટીમ,I-ORG
માઇક,B-PER
હેસન,I-PER
ભારતીય,B-ORG
ટીમ,I-ORG
એપલાઈ,B-ORG
ચીન,B-LOC
સંક્રમણ,B-EVT
મહામારી,B-EVT
ઔરંગાબાદ,B-LOC
હૈદરાબાદ,B-LOC
રાજ્યરાની,B-LOC
રામપુર,B-LOC
ટ્રેન દુર્ઘટના,B-EVT
પેસેન્જર ટ્રેન,B-PROD
આ,B-PER
